c,Clicks,CTR,Spend,aCPM,aCPC
70,117,0.0007769543389911546,6066.636,40.28631763487131,51.85158974358975
71,117,0.0007749011504301694,6093.07,40.35493121924404,52.07752136752136
72,117,0.0007727413826126584,6123.032,40.44034370479958,52.33360683760684
73,118,0.0007772771585908887,6151.447,40.52016309646141,52.13090677966102
74,118,0.0007739379669043137,6201.614,40.67512314140109,52.55605084745763
75,118,0.0007715645760318042,6234.909,40.768092535439656,52.83821186440678
76,118,0.0007710049853966429,6250.0,40.837128463805236,52.96610169491525
77,118,0.0007727823438881431,6250.0,40.93126821441435,52.96610169491525
78,118,0.000774069968053214,6250.0,40.999468646886335,52.96610169491525
79,117,0.0007687203106418486,6250.0,41.0641191582184,53.41880341880342
